pair_id,target
11691,0
11692,1
11693,1
11694,0
11695,0
11696,0
11697,0
11698,1
11699,1
11700,0
11701,0
11702,0
11703,0
11704,1
11705,0
11706,0
11707,1
11708,1
11709,1
11710,0
11711,1
11712,0
11713,0
11714,1
11715,1
11716,0
11717,0
11718,1
11719,0
11720,0
11721,0
11722,1
11723,1
11724,0
11725,1
11726,0
11727,1
11728,1
11729,1
11730,1
11731,1
11732,0
11733,0
11734,1
11735,1
11736,1
11737,0
11738,1
11739,0
11740,0
11741,0
11742,1
11743,0
11744,1
11745,0
11746,0
11747,1
11748,0
11749,1
11750,0
11751,0
11752,1
11753,1
11754,1
11755,0
11756,0
11757,1
11758,1
11759,0
11760,1
11761,1
11762,1
11763,0
11764,1
11765,1
11766,0
11767,0
11768,1
11769,0
11770,0
11771,0
11772,0
11773,0
11774,1
11775,0
11776,1
11777,1
11778,0
11779,1
11780,1
11781,0
11782,1
11783,0
11784,1
11785,1
11786,1
11787,1
11788,0
11789,0
11790,1
11791,1
11792,1
11793,1
11794,1
11795,1
11796,0
11797,1
11798,1
11799,0
11800,1
11801,1
11802,0
11803,0
11804,1
11805,1
11806,0
11807,1
11808,0
11809,1
11810,0
11811,1
11812,0
11813,1
11814,1
11815,1
11816,1
11817,1
11818,1
11819,0
11820,0
11821,1
11822,0
11823,1
11824,1
11825,0
11826,1
11827,1
11828,1
11829,1
11830,0
11831,1
11832,1
11833,0
11834,0
11835,0
11836,1
11837,1
11838,0
11839,1
11840,1
11841,0
11842,1
11843,0
11844,0
11845,0
11846,1
11847,1
11848,1
11849,1
11850,0
11851,0
11852,0
11853,0
11854,0
11855,1
11856,1
11857,1
11858,1
11859,1
11860,0
11861,0
11862,1
11863,1
11864,0
11865,0
11866,1
11867,0
11868,1
11869,0
11870,1
11871,1
11872,1
11873,1
11874,0
11875,1
11876,1
11877,0
11878,1
11879,0
11880,1
11881,1
11882,1
11883,1
11884,1
11885,1
11886,1
11887,1
11888,0
11889,1
11890,1
11891,1
11892,1
11893,1
11894,1
11895,0
11896,1
11897,0
11898,1
11899,0
11900,1
11901,1
11902,0
11903,1
11904,0
11905,0
11906,1
11907,0
11908,1
11909,1
11910,1
11911,1
11912,0
11913,0
11914,0
11915,1
11916,1
11917,1
11918,0
11919,1
11920,1
11921,1
11922,1
11923,0
11924,0
11925,1
11926,1
11927,0
11928,1
11929,1
11930,1
11931,1
11932,0
11933,1
11934,0
11935,1
11936,0
11937,1
11938,1
11939,0
11940,0
11941,0
11942,0
11943,0
11944,0
11945,0
11946,1
11947,1
11948,0
11949,1
11950,1
11951,1
11952,1
11953,1
11954,1
11955,1
11956,0
11957,0
11958,0
11959,0
11960,1
11961,0
11962,0
11963,0
11964,1
11965,1
11966,0
11967,1
11968,1
11969,1
11970,1
11971,0
11972,0
11973,1
11974,0
11975,0
11976,0
11977,0
11978,0
11979,0
11980,1
11981,0
11982,0
11983,1
11984,1
11985,1
11986,1
11987,1
11988,1
11989,0
11990,0
11991,0
11992,1
11993,1
11994,0
11995,0
11996,1
11997,1
11998,1
11999,1
12000,1
12001,1
12002,0
12003,1
12004,1
12005,0
12006,1
12007,0
12008,0
12009,0
12010,1
12011,1
12012,1
12013,1
12014,0
12015,1
12016,1
12017,1
12018,0
12019,1
12020,0
12021,1
12022,1
12023,0
12024,1
12025,0
12026,0
12027,1
12028,0
12029,1
12030,0
12031,1
12032,1
12033,0
12034,1
12035,0
12036,0
12037,0
12038,1
12039,0
12040,1
12041,0
12042,0
12043,0
12044,1
12045,1
12046,0
12047,1
12048,1
12049,1
12050,1
12051,1
12052,0
12053,1
12054,0
12055,1
12056,1
12057,0
12058,0
12059,0
12060,0
12061,0
12062,1
12063,0
12064,0
12065,0
12066,1
12067,0
12068,0
12069,0
12070,1
12071,0
12072,0
12073,0
12074,1
12075,1
12076,0
12077,1
12078,1
12079,1
12080,1
12081,0
12082,0
12083,0
12084,1
12085,0
12086,0
12087,0
12088,1
12089,1
12090,0
12091,1
12092,0
12093,0
12094,0
12095,1
12096,0
12097,0
12098,0
12099,1
12100,1
12101,1
12102,0
12103,1
12104,1
12105,0
12106,0
12107,1
12108,0
12109,1
12110,1
12111,0
12112,0
12113,1
12114,0
12115,0
12116,0
12117,0
12118,1
12119,0
12120,1
12121,0
12122,1
12123,0
12124,1
12125,1
12126,1
12127,0
12128,1
12129,0
12130,0
12131,1
12132,0
12133,0
12134,0
12135,0
12136,0
12137,1
12138,0
12139,0
12140,0
12141,0
12142,1
12143,1
12144,0
12145,0
12146,0
12147,0
12148,0
12149,0
12150,0
12151,1
12152,0
12153,1
12154,0
12155,1
12156,1
12157,1
12158,0
12159,1
12160,0
12161,1
12162,1
12163,0
12164,1
12165,1
12166,1
12167,1
12168,0
12169,0
12170,0
12171,1
12172,0
12173,0
12174,0
12175,0
12176,0
12177,0
12178,0
12179,1
12180,1
12181,1
12182,1
12183,1
12184,1
12185,1
12186,1
12187,0
12188,1
12189,1
12190,1
12191,1
12192,1
12193,1
12194,1
12195,1
12196,1
12197,1
12198,1
12199,0
12200,1
12201,0
12202,1
12203,0
12204,1
12205,0
12206,1
12207,1
12208,1
12209,1
12210,0
12211,1
12212,0
12213,1
12214,1
12215,1
12216,1
12217,1
12218,1
12219,1
12220,1
12221,0
12222,1
12223,1
12224,1
12225,1
12226,1
12227,1
12228,0
12229,1
12230,1
12231,0
12232,1
12233,0
12234,0
12235,1
12236,1
12237,1
12238,0
12239,0
12240,1
12241,1
12242,0
12243,0
12244,1
12245,1
12246,1
12247,0
12248,1
12249,0
12250,1
12251,1
12252,1
12253,0
12254,0
12255,1
12256,1
12257,1
12258,1
12259,1
12260,1
12261,0
12262,0
12263,1
12264,0
12265,0
12266,1
12267,1
12268,0
12269,0
12270,1
12271,1
12272,0
12273,0
12274,0
12275,0
12276,0
12277,0
12278,0
12279,0
12280,0
12281,0
12282,0
12283,0
12284,0
12285,1
12286,1
12287,0
12288,0
12289,0
12290,0
12291,0
12292,0
12293,0
12294,0
12295,0
12296,0
12297,0
12298,0
12299,1
12300,0
12301,0
12302,0
12303,0
12304,0
12305,0
12306,0
12307,0
12308,1
12309,0
12310,0
12311,0
12312,1
12313,0
12314,0
12315,0
12316,0
12317,0
12318,0
12319,0
12320,0
12321,0
12322,0
12323,0
12324,0
12325,1
12326,0
12327,0
12328,0
12329,1
12330,0
12331,0
12332,0
12333,0
12334,0
12335,0
12336,0
12337,0
12338,0
12339,0
12340,1
12341,1
12342,0
12343,0
12344,0
12345,0
12346,0
12347,0
12348,0
12349,0
12350,0
12351,0
12352,1
12353,1
12354,0
12355,0
12356,0
12357,0
12358,1
12359,0
12360,0
12361,0
12362,0
12363,0
12364,1
12365,0
12366,1
12367,0
12368,0
12369,1
12370,0
12371,1
12372,0
12373,1
12374,1
12375,0
12376,1
12377,1
12378,1
12379,0
12380,1
12381,0
12382,0
12383,1
12384,1
12385,1
12386,1
12387,1
12388,1
12389,1
12390,1
12391,1
12392,1
12393,0
12394,1
12395,1
12396,0
12397,1
12398,1
12399,1
12400,1
12401,1
12402,1
12403,1
12404,1
12405,1
12406,1
12407,1
12408,1
12409,1
12410,1
12411,1
12412,1
12413,1
12414,1
12415,1
12416,0
12417,1
12418,1
12419,1
12420,1
12421,1
12422,1
12423,0
12424,1
12425,1
12426,1
12427,1
12428,1
12429,0
12430,1
12431,1
12432,1
12433,1
12434,1
12435,1
12436,1
12437,1
12438,1
12439,1
12440,1
12441,1
12442,1
12443,1
12444,0
12445,1
12446,1
12447,1
12448,1
12449,1
12450,1
12451,0
12452,1
12453,1
12454,1
12455,1
12456,1
12457,1
12458,1
12459,1
12460,1
12461,1
12462,1
12463,1
12464,1
12465,1
12466,1
12467,0
12468,1
12469,0
12470,0
12471,0
12472,0
12473,0
12474,0
12475,0
12476,1
12477,0
12478,0
12479,1
12480,0
12481,1
12482,0
12483,0
12484,0
12485,1
12486,0
12487,1
12488,0
12489,0
12490,1
12491,0
12492,0
12493,0
12494,0
12495,0
12496,0
12497,0
12498,0
12499,1
12500,0
12501,0
12502,0
12503,0
12504,0
12505,1
12506,0
12507,0
12508,0
12509,0
12510,1
12511,0
12512,1
12513,0
12514,0
12515,0
12516,0
12517,0
12518,0
12519,0
12520,1
12521,0
12522,0
12523,0
12524,0
12525,0
12526,0
12527,0
12528,0
12529,0
12530,1
12531,1
12532,0
12533,0
12534,1
12535,0
12536,1
12537,0
12538,0
12539,0
12540,0
12541,0
12542,0
12543,0
12544,0
12545,0
12546,0
12547,0
12548,0
12549,0
12550,0
12551,0
12552,1
12553,0
12554,0
12555,1
12556,0
12557,0
12558,0
12559,1
12560,0
12561,0
12562,0
12563,0
12564,0
12565,0
12566,0
12567,0
12568,0
12569,0
12570,0
12571,1
12572,0
12573,0
12574,1
12575,0
12576,0
12577,0
12578,0
12579,1
12580,0
12581,1
12582,1
12583,0
12584,0
12585,0
12586,0
12587,0
12588,0
12589,0
12590,0
12591,0
12592,0
12593,1
12594,0
12595,0
12596,0
12597,0
12598,0
12599,0
12600,1
12601,0
12602,0
12603,0
12604,0
12605,0
12606,0
12607,1
12608,0
12609,0
12610,0
12611,0
12612,0
12613,0
12614,1
12615,0
12616,0
12617,0
12618,0
12619,1
12620,0
12621,0
12622,1
12623,1
12624,0
12625,0
12626,1
12627,0
12628,0
12629,0
12630,0
12631,0
12632,0
12633,0
12634,1
12635,0
12636,0
12637,0
12638,0
12639,0
12640,0
12641,0
12642,0
12643,0
12644,0
12645,0
12646,0
12647,0
12648,1
12649,0
12650,0
12651,1
12652,1
12653,1
12654,0
12655,1
12656,0
12657,1
12658,0
12659,1
12660,0
12661,0
12662,0
12663,0
12664,0
12665,1
12666,0
12667,1
12668,0
12669,0
12670,0
12671,1
12672,0
12673,0
12674,0
12675,0
12676,1
12677,0
12678,1
12679,1
12680,0
12681,0
12682,1
12683,0
12684,1
12685,0
12686,1
12687,0
12688,1
12689,1
12690,0
12691,1
12692,1
12693,1
12694,0
12695,0
12696,1
12697,1
12698,0
12699,0
12700,0
12701,0
12702,0
12703,1
12704,1
12705,0
12706,0
12707,0
12708,1
12709,0
12710,0
12711,1
12712,0
12713,0
12714,0
12715,0
12716,0
12717,0
12718,1
12719,0
12720,1
12721,0
12722,0
12723,0
12724,0
12725,0
12726,0
12727,1
12728,0
12729,1
12730,0
12731,0
12732,1
12733,0
12734,0
12735,0
12736,0
12737,1
12738,0
12739,0
12740,0
12741,0
12742,0
12743,1
12744,0
12745,0
12746,1
12747,0
12748,1
12749,1
12750,1
12751,0
12752,1
12753,0
12754,1
12755,0
12756,1
12757,1
12758,0
12759,0
12760,1
12761,0
12762,1
12763,0
12764,1
12765,0
12766,0
12767,1
12768,1
12769,1
12770,1
12771,1
12772,0
12773,1
12774,1
12775,0
